 # S8 cross sections at 13 TeV LHC
 # CTEQ6L pdfs with alpha_s(Mz) = 0.118
 # alpha_s evaluated at 2 loop running 
 # with 5 flavors
 # cross section presented in pb and calculated
 # with MadGraph5.  The model was implemented 
 # into MadGraph using FeynRules
#   (GeV)    (GeV)     (pb)
Mass S8Width S8
1000 72 0.2294E+03
1100 79 0.1322E+03
1200 85 0.7836E+02
1300 91 0.4929E+02
1400 98 0.3029E+02
1500 104 0.1961E+02
1600 110 0.1287E+02
1700 116 0.8624E+01
1800 122 0.5717E+01
1900 128 0.3949E+01
2000 135 0.2740E+01
2100 141 0.1891E+01
2200 147 0.1340E+01
2300 153 0.9631E+00
2400 158 0.6882E+00
2500 164 0.5078E+00
2600 170 0.3660E+00
2700 176 0.2653E+00
2800 182 0.1944E+00
2900 188 0.1445E+00
3000 194 0.1103E+00
3100 200 0.8160E-01
3200 205 0.6085E-01
3300 211 0.4579E-01
3400 217 0.3467E-01
3500 223 0.2592E-01
3600 229 0.1996E-01
3700 234 0.1497E-01
3800 240 0.1173E-01
3900 246 0.8843E-02
4000 251 0.6715E-02
4100 257 0.5174E-02
4200 263 0.4001E-02
4300 268 0.3038E-02
4400 274 0.2346E-02
4500 280 0.1804E-02
4600 285 0.1401E-02
4700 291 0.1068E-02
4800 297 0.8405E-03
4900 302 0.6365E-03
5000 308 0.4991E-03
5100 313 0.3817E-03
5200 319 0.3003E-03
5300 324 0.2276E-03
5400 330 0.1777E-03
5500 336 0.1375E-03
5600 341 0.1051E-03
5700 347 0.8414E-04
5800 352 0.6321E-04
5900 358 0.4903E-04
6000 363 0.3800E-04
