#  Dijet Resonance Cross Section for sqrt{s}=13 TeV, |eta|<2.5, |delta eta|<1.1
#   (GeV)    (pb)         (pb)        (pb)        (pb)        (pb)        (pb)
   Mass      q*       Axigluon    E6Diquark      Z'          W'       RSGraviton
  1000.0  0.3605E+03  0.1587E+03  0.5111E+02  0.4316E+01  0.7563E+01  0.7515E+01
  1100.0  0.2300E+03  0.1059E+03  0.3726E+02  0.2913E+01  0.5163E+01  0.4563E+01
  1200.0  0.1509E+03  0.7257E+02  0.2779E+02  0.2016E+01  0.3611E+01  0.2871E+01
  1300.0  0.1014E+03  0.5082E+02  0.2112E+02  0.1424E+01  0.2577E+01  0.1861E+01
  1400.0  0.6951E+02  0.3624E+02  0.1631E+02  0.1023E+01  0.1870E+01  0.1237E+01
  1500.0  0.4852E+02  0.2626E+02  0.1276E+02  0.7468E+00  0.1377E+01  0.8406E+00
  1600.0  0.3439E+02  0.1931E+02  0.1009E+02  0.5518E+00  0.1027E+01  0.5822E+00
  1700.0  0.2472E+02  0.1437E+02  0.8065E+01  0.4125E+00  0.7736E+00  0.4102E+00
  1800.0  0.1798E+02  0.1080E+02  0.6496E+01  0.3112E+00  0.5882E+00  0.2932E+00
  1900.0  0.1322E+02  0.8192E+01  0.5270E+01  0.2369E+00  0.4509E+00  0.2125E+00
  2000.0  0.9812E+01  0.6260E+01  0.4301E+01  0.1816E+00  0.3479E+00  0.1557E+00
  2100.0  0.7345E+01  0.4826E+01  0.3529E+01  0.1402E+00  0.2701E+00  0.1153E+00
  2200.0  0.5540E+01  0.3742E+01  0.2909E+01  0.1089E+00  0.2108E+00  0.8616E-01
  2300.0  0.4209E+01  0.2918E+01  0.2408E+01  0.8497E-01  0.1653E+00  0.6494E-01
  2400.0  0.3217E+01  0.2286E+01  0.2000E+01  0.6663E-01  0.1301E+00  0.4930E-01
  2500.0  0.2473E+01  0.1799E+01  0.1666E+01  0.5247E-01  0.1027E+00  0.3768E-01
  2600.0  0.1910E+01  0.1418E+01  0.1392E+01  0.4147E-01  0.8137E-01  0.2897E-01
  2700.0  0.1483E+01  0.1122E+01  0.1165E+01  0.3290E-01  0.6462E-01  0.2239E-01
  2800.0  0.1156E+01  0.8905E+00  0.9777E+00  0.2617E-01  0.5143E-01  0.1740E-01
  2900.0  0.9048E+00  0.7087E+00  0.8217E+00  0.2088E-01  0.4100E-01  0.1357E-01
  3000.0  0.7106E+00  0.5654E+00  0.6917E+00  0.1670E-01  0.3274E-01  0.1063E-01
  3100.0  0.5599E+00  0.4529E+00  0.5830E+00  0.1338E-01  0.2617E-01  0.8356E-02
  3200.0  0.4425E+00  0.3635E+00  0.4919E+00  0.1075E-01  0.2094E-01  0.6590E-02
  3300.0  0.3507E+00  0.2923E+00  0.4154E+00  0.8644E-02  0.1677E-01  0.5212E-02
  3400.0  0.2786E+00  0.2354E+00  0.3511E+00  0.6965E-02  0.1344E-01  0.4133E-02
  3500.0  0.2219E+00  0.1899E+00  0.2969E+00  0.5621E-02  0.1077E-01  0.3286E-02
  3600.0  0.1770E+00  0.1533E+00  0.2512E+00  0.4540E-02  0.8634E-02  0.2617E-02
  3700.0  0.1415E+00  0.1239E+00  0.2126E+00  0.3671E-02  0.6921E-02  0.2088E-02
  3800.0  0.1133E+00  0.1003E+00  0.1799E+00  0.2971E-02  0.5546E-02  0.1668E-02
  3900.0  0.9085E-01  0.8116E-01  0.1523E+00  0.2406E-02  0.4443E-02  0.1335E-02
  4000.0  0.7296E-01  0.6575E-01  0.1289E+00  0.1950E-02  0.3557E-02  0.1070E-02
  4100.0  0.5866E-01  0.5320E-01  0.1091E+00  0.1581E-02  0.2846E-02  0.8581E-03
  4200.0  0.4721E-01  0.4306E-01  0.9235E-01  0.1282E-02  0.2276E-02  0.6888E-03
