#   (GeV)    (pb)       
	Mass AxigluonNLO
  1000.0   0.1587E+03
  1100.0   0.1059E+03
  1200.0   0.7257E+02
  1300.0   0.5082E+02
  1400.0   0.3624E+02
  1500.0   0.2626E+02
  1600.0   0.1931E+02
  1700.0   0.1437E+02
  1800.0   0.1080E+02
  1900.0   0.8192E+01
  2000.0   0.6260E+01
  2100.0   0.4826E+01
  2200.0   0.3742E+01
  2300.0   0.2918E+01
  2400.0   0.2286E+01
  2500.0   0.1799E+01
  2600.0   0.1418E+01
  2700.0   0.1122E+01
  2800.0   0.8905E+00
  2900.0   0.7087E+00
  3000.0   0.5654E+00
  3100.0   0.4529E+00
  3200.0   0.3635E+00
  3300.0   0.2923E+00
  3400.0   0.2354E+00
  3500.0   0.1899E+00
  3600.0   0.1533E+00
  3700.0   0.1239E+00
  3800.0   0.1003E+00
  3900.0   0.8116E-01
  4000.0   0.6575E-01
  4100.0   0.5320E-01
  4200.0   0.4306E-01
  4300.0   0.3485E-01
  4400.0   0.2822E-01
  4500.0   0.2285E-01
  4600.0   0.1852E-01
  4700.0   0.1502E-01
  4800.0   0.1217E-01
  4900.0   0.9853E-02
  5000.0   0.7974E-02
  5100.0   0.6449E-02
  5200.0   0.5211E-02
  5300.0   0.4206E-02
  5400.0   0.3392E-02
  5500.0   0.2732E-02
  5600.0   0.2197E-02
  5700.0   0.1764E-02
  5800.0   0.1414E-02
  5900.0   0.1132E-02
  6000.0   0.9043E-03
  6100.0   0.7221E-03
  6200.0   0.5755E-03
  6300.0   0.4576E-03
  6400.0   0.3629E-03
  6500.0   0.2872E-03
  6600.0   0.2262E-03
  6700.0   0.1777E-03
  6800.0   0.1392E-03
  6900.0   0.1087E-03
  7000.0   0.8461E-04
  7100.0   0.6575E-04
  7200.0   0.5091E-04
  7300.0   0.3928E-04
  7400.0   0.3020E-04
  7500.0   0.2313E-04
  7600.0   0.1761E-04
  7700.0   0.1336E-04
  7800.0   0.1010E-04
  7900.0   0.7598E-05
  8000.0   0.5695E-05
  8100.0   0.4250E-05
  8200.0   0.3160E-05
  8300.0   0.2339E-05
  8400.0   0.1725E-05
  8500.0   0.1267E-05
  8600.0   0.9269E-06
  8700.0   0.6761E-06
  8800.0   0.4914E-06
  8900.0   0.3559E-06
  9000.0   0.2572E-06
