#   (GeV)    (pb)       
Mass String
1000.0 0.7281E+04
1100.0 0.4652E+04
1200.0 0.3008E+04
1300.0 0.2018E+04
1400.0 0.1374E+04
1500.0 0.9552E+03
1600.0 0.6750E+03
1700.0 0.4832E+03
1800.0 0.3499E+03
1900.0 0.2572E+03
2000.0 0.1910E+03
2100.0 0.1426E+03
2200.0 0.1078E+03
2300.0 0.8198E+02
2400.0 0.6263E+02
2500.0 0.4848E+02
2600.0 0.3743E+02
2700.0 0.2921E+02 
2800.0 0.2282E+02
2900.0 0.1778E+02
3000.0 0.1411E+02
3100.0 0.1118E+02
3200.0 0.8880E+01 
3300.0 0.7055E+01
3400.0 0.5604E+01
3500.0 0.4479E+01
3600.0 0.3618E+01
3700.0 0.2906E+01
3800.0 0.2327E+01
3900.0 0.1889E+01
4000.0 0.1533E+01
4100.0 0.1230E+01
4200.0 0.9982E+00
4300.0 0.8102E+00
4400.0 0.6586E+00
4500.0 0.5358E+00
4600.0 0.4344E+00
4700.0 0.3545E+00
4800.0 0.2897E+00
4900.0 0.2366E+00
5000.0 0.1928E+00
5100.0 0.1561E+00
5200.0 0.1275E+00
5300.0 0.1045E+00
5400.0 0.8488E-01
5500.0 0.6944E-01
5600.0 0.5644E-01
5700.0 0.4625E-01
5800.0 0.3752E-01
5900.0 0.3056E-01
6000.0 0.2481E-01
6100.0 0.2026E-01
6200.0 0.1641E-01
6300.0 0.1344E-01
6400.0 0.1089E-01
6500.0 0.8803E-02
6600.0 0.7157E-02
6700.0 0.5808E-02
6800.0 0.4672E-02
6900.0 0.3773E-02
7000.0 0.3033E-02
7100.0 0.2439E-02
7200.0 0.1971E-02
7300.0 0.1583E-02
7400.0 0.1260E-02
7500.0 0.1014E-02
7600.0 0.8044E-03
7700.0 0.6427E-03
7800.0 0.5137E-03
7900.0 0.4081E-03
8000.0 0.3228E-03
8100.0 0.2567E-03
8200.0 0.2016E-03
8300.0 0.1596E-03
8400.0 0.1254E-03
8500.0 0.9861E-04
8600.0 0.7721E-04
8700.0 0.6016E-04
8800.0 0.4722E-04
8900.0 0.3646E-04
9000.0 0.2859E-04
9100.0 0.2227E-04
9200.0 0.1737E-04
9300.0 0.1349E-04
9400.0 0.1043E-04
9500.0 0.8102E-05
9600.0 0.6317E-05
9700.0 0.4914E-05
9800.0 0.3823E-05
9900.0 0.2974E-05
